n,win,mean,median,pf,t,avg_win,avg_loss,entry,exit,risk,window
3039,0.24909509707140506,-0.013143477429663418,-0.03597000000000005,0.47820570796968676,-14.400004903524145,0.04835713204795509,-0.033544862782230116,h1_green(첫1h 양봉·상단마감→10:30),→종가,손절3%+트레일5%,test
2432,0.36225328947368424,-0.009789229443335044,-0.014361271543004036,0.6655084735324803,-6.289420489025857,0.05376561761442811,-0.04588969382624241,h1_green_strong(+위조건 & 첫1h +3%↑),→12:30,손절없음,train
2432,0.20929276315789475,-0.009961429442499573,-0.02598,0.5208583179391454,-9.718152157830767,0.05173960423070415,-0.026293112302437534,h1_green_strong(+위조건 & 첫1h +3%↑),→12:30,손절2%,train
2432,0.26480263157894735,-0.010341875980036705,-0.03596999999999994,0.5673222797804958,-9.032008620221136,0.051208533094691165,-0.03251103898010648,h1_green_strong(+위조건 & 첫1h +3%↑),→12:30,손절3%,train
2432,0.31620065789473684,-0.011503588013899231,-0.021947734066536825,0.5821658031670699,-9.074500065179704,0.05068894595282239,-0.04026249277662258,h1_green_strong(+위조건 & 첫1h +3%↑),→12:30,손절5%,train
2432,0.30304276315789475,-0.01310190834388615,-0.03596999999999994,0.42688124855541726,-19.85193527304956,0.03220276032888928,-0.03280075248066225,h1_green_strong(+위조건 & 첫1h +3%↑),→12:30,손절3%+익절5%,train
2432,0.2759046052631579,-0.01113190389763482,-0.03596999999999994,0.5268472698532534,-13.551846866536087,0.04492559961856694,-0.03249169087058847,h1_green_strong(+위조건 & 첫1h +3%↑),→12:30,손절3%+익절10%,train
2432,0.32894736842105265,-0.011833737320945883,-0.02072484373876104,0.5611896948566418,-12.060466720872803,0.04600747277189966,-0.04018727168018389,h1_green_strong(+위조건 & 첫1h +3%↑),→12:30,손절5%+익절10%,train
2432,0.2738486842105263,-0.008993650495486453,-0.03053320598057113,0.5956717650049352,-7.008889384675776,0.04838361265812883,-0.03063196151491328,h1_green_strong(+위조건 & 첫1h +3%↑),→12:30,트레일3%,train
2432,0.3178453947368421,-0.0099424396983558,-0.020142382001237188,0.6181343927960048,-7.105715575378781,0.050634835717073924,-0.038168017694815815,h1_green_strong(+위조건 & 첫1h +3%↑),→12:30,트레일5%,train
2432,0.2590460526315789,-0.01065045504108777,-0.03596999999999994,0.5562829567658175,-8.329108490295706,0.051544321663895123,-0.03239446687468334,h1_green_strong(+위조건 & 첫1h +3%↑),→12:30,손절3%+트레일5%,train
2432,0.3852796052631579,-0.009057343252022993,-0.01495024875621875,0.7368097425403395,-4.127582987055762,0.06581279834895808,-0.05598264270360777,h1_green_strong(+위조건 & 첫1h +3%↑),→14:30,손절없음,train
2432,0.18215460526315788,-0.009627144543179103,-0.02598,0.5663052395238134,-5.998955510384525,0.0690118613590314,-0.027142016144325033,h1_green_strong(+위조건 & 첫1h +3%↑),→14:30,손절2%,train
2432,0.24342105263157895,-0.01029841172286318,-0.03597000000000005,0.6047739331391354,-6.070308682776544,0.06473804766519616,-0.03444057691728227,h1_green_strong(+위조건 & 첫1h +3%↑),→14:30,손절3%,train
2432,0.31167763157894735,-0.010985748240800397,-0.03162670320279686,0.6429721439854734,-5.915701423541199,0.06347665942990222,-0.0447028958001747,h1_green_strong(+위조건 & 첫1h +3%↑),→14:30,손절5%,train
2432,0.3104440789473684,-0.012851384974477211,-0.03596999999999994,0.464061270572951,-18.37145534557333,0.03584484732110446,-0.03477485270444988,h1_green_strong(+위조건 & 첫1h +3%↑),→14:30,손절3%+익절5%,train
2432,0.2668585526315789,-0.010993357476768101,-0.03597000000000005,0.5656242315022778,-12.338450655207257,0.05364282491129505,-0.034520492849652556,h1_green_strong(+위조건 & 첫1h +3%↑),→14:30,손절3%+익절10%,train
2432,0.3384046052631579,-0.011643274701655937,-0.02811749206169994,0.6071593165772597,-10.783331895600295,0.053177153311189544,-0.044798782628673844,h1_green_strong(+위조건 & 첫1h +3%↑),→14:30,손절5%+익절10%,train
2432,0.26932565789473684,-0.009006125142426184,-0.0323049242800647,0.6043746828313216,-6.990780849254172,0.05108371060389346,-0.031155164204800613,h1_green_strong(+위조건 & 첫1h +3%↑),→14:30,트레일3%,train
2432,0.31866776315789475,-0.00992390801307585,-0.02429004874917928,0.6408222745683143,-6.827406089810378,0.055561351530483784,-0.040552197781487866,h1_green_strong(+위조건 & 첫1h +3%↑),→14:30,트레일5%,train
2432,0.25082236842105265,-0.011066800564413632,-0.03597000000000005,0.5636170638825599,-8.59197575116876,0.05698652729904334,-0.033850845568095714,h1_green_strong(+위조건 & 첫1h +3%↑),→14:30,손절3%+트레일5%,train
