train_n_trades,train_win_rate,train_total_return,train_max_drawdown,train_profit_factor,train_expectancy,train_sharpe,train_avg_hold_days,test_n_trades,test_win_rate,test_total_return,test_max_drawdown,test_profit_factor,test_expectancy,test_sharpe,test_avg_hold_days,model,kind,params,exclude_earnings,exit
694,0.2881844380403458,-0.6305145834797775,-0.681173219680762,0.7829666991555112,-0.018037741475694,-1.3843946025086116,0.3976945244956772,579,0.3264248704663212,0.0153779397376052,-0.3832108550492789,1.0049570781049204,-0.0009035688537287,0.2449889261908423,0.4041450777202072,big_candle_maxvol,screen,"{""min_ret"": 0.3, ""min_close_pos"": 0.5, ""max_mcap"": 300000000.0}",True,"{""stop_pct"": 0.1, ""target_pct"": 0.4, ""max_hold_days"": 1}"
694,0.239193083573487,-0.3944747533668042,-0.5472208579948227,0.9048320658243214,-0.012983479016635,-0.4711562178165236,0.8054755043227666,573,0.2635253054101221,-0.1799033620489392,-0.4717689980224533,0.9440689736429304,-0.0043006525801161,-0.175736406258645,0.8289703315881326,big_candle_maxvol,screen,"{""min_ret"": 0.3, ""min_close_pos"": 0.5, ""max_mcap"": 300000000.0}",True,"{""stop_pct"": 0.1, ""target_pct"": 0.4, ""max_hold_days"": 3}"
694,0.2204610951008645,-0.5186779763803446,-0.6412628572034555,0.8716078669860885,-0.0162751035896858,-0.7808383080176523,1.0677233429394812,570,0.2298245614035087,-0.3720446134690219,-0.527679765801915,0.8757265326207976,-0.008932156444254,-0.6957659997969439,1.0789473684210529,big_candle_maxvol,screen,"{""min_ret"": 0.3, ""min_close_pos"": 0.5, ""max_mcap"": 300000000.0}",True,"{""stop_pct"": 0.1, ""target_pct"": 0.4, ""max_hold_days"": 5}"
688,0.2078488372093023,-0.4724663842048686,-0.6181601289150045,0.8942741560344094,-0.0149709357295261,-0.6744362020708031,1.504360465116279,555,0.2108108108108108,-0.5031388935397607,-0.589299619125208,0.8165272912391074,-0.0129387638794357,-1.0944388723219152,1.4486486486486487,big_candle_maxvol,screen,"{""min_ret"": 0.3, ""min_close_pos"": 0.5, ""max_mcap"": 300000000.0}",True,"{""stop_pct"": 0.1, ""target_pct"": 0.4, ""max_hold_days"": 10}"
688,0.3430232558139535,-0.3613221678899173,-0.6816151531819309,0.92735588111498,-0.0087819321815972,0.1063882160910737,0.7863372093023255,573,0.3944153577661431,0.3849963999613566,-0.448405470924205,1.0977597006402924,0.0095111159502265,0.7286673219167975,0.8219895287958116,big_candle_maxvol,screen,"{""min_ret"": 0.3, ""min_close_pos"": 0.5, ""max_mcap"": 300000000.0}",True,"{""stop_pct"": 0.2, ""target_pct"": null, ""max_hold_days"": 1}"
675,0.3214814814814815,0.2385573562128196,-0.6876859672869543,1.025347868832236,0.0116377779247287,0.4994676369580098,2.0192592592592598,546,0.3223443223443223,-0.6122870494753995,-0.6669635668869831,0.7989056384519576,-0.0140606459805001,-0.3216473842747305,2.1446886446886446,big_candle_maxvol,screen,"{""min_ret"": 0.3, ""min_close_pos"": 0.5, ""max_mcap"": 300000000.0}",True,"{""stop_pct"": 0.2, ""target_pct"": null, ""max_hold_days"": 3}"
640,0.3015625,0.062575606979758,-0.7906030177084766,1.006641167774775,0.0166923861015494,0.4892505435568879,3.0796875,490,0.273469387755102,-0.5641046707296429,-0.7130441457115386,0.8405169965612267,-0.0113550934382542,-0.1378845893046208,3.2224489795918365,big_candle_maxvol,screen,"{""min_ret"": 0.3, ""min_close_pos"": 0.5, ""max_mcap"": 300000000.0}",True,"{""stop_pct"": 0.2, ""target_pct"": null, ""max_hold_days"": 5}"
536,0.2947761194029851,0.9003198541944892,-0.7545936010779893,1.0974665558175691,0.03518188008443,0.7435357278979283,5.619402985074627,382,0.2120418848167539,-0.8586019746525616,-0.8663171091616664,0.6918211840088931,-0.0422686970447494,-0.8795784179335142,5.026178010471204,big_candle_maxvol,screen,"{""min_ret"": 0.3, ""min_close_pos"": 0.5, ""max_mcap"": 300000000.0}",True,"{""stop_pct"": 0.2, ""target_pct"": null, ""max_hold_days"": 10}"
698,0.4126074498567335,-0.7318011073095236,-0.798563724002819,0.7671221038741116,-0.0225322885481284,-2.119257360919503,0.491404011461318,580,0.4741379310344827,-0.4370160190864465,-0.4886131148163906,0.8434749707533588,-0.0097353997939363,-1.319786005355775,0.4844827586206897,big_candle_maxvol,screen,"{""min_ret"": 0.3, ""min_close_pos"": 0.5, ""max_mcap"": 300000000.0}",True,"{""stop_pct"": 0.2, ""target_pct"": 0.15, ""max_hold_days"": 1}"
695,0.460431654676259,-0.7040196156713171,-0.807914713782664,0.8134314817169788,-0.0217445317835493,-1.5363046680463184,1.0302158273381294,577,0.4956672443674176,-0.5726097028091798,-0.6180548601502385,0.8213997764853285,-0.0132820499015813,-1.76161160736723,0.9982668977469672,big_candle_maxvol,screen,"{""min_ret"": 0.3, ""min_close_pos"": 0.5, ""max_mcap"": 300000000.0}",True,"{""stop_pct"": 0.2, ""target_pct"": 0.15, ""max_hold_days"": 3}"
694,0.4726224783861671,-0.7180883542054315,-0.80377949726805,0.8140109578537852,-0.0233565173686779,-1.5763778584952115,1.3847262247838616,571,0.5026269702276708,-0.5658321202399519,-0.6163371672871838,0.8406526754081609,-0.0140504089759314,-1.5319522002721304,1.341506129597198,big_candle_maxvol,screen,"{""min_ret"": 0.3, ""min_close_pos"": 0.5, ""max_mcap"": 300000000.0}",True,"{""stop_pct"": 0.2, ""target_pct"": 0.15, ""max_hold_days"": 5}"
680,0.5058823529411764,-0.4572464883967821,-0.6829520869417216,0.8983927547320361,-0.0152843062640543,-0.5788845300459214,1.9544117647058823,559,0.518783542039356,-0.0959302665611675,-0.5305915007951787,0.9831939694827871,0.0027998298503573,0.2783819042911432,1.7889087656529516,big_candle_maxvol,screen,"{""min_ret"": 0.3, ""min_close_pos"": 0.5, ""max_mcap"": 300000000.0}",True,"{""stop_pct"": 0.2, ""target_pct"": 0.15, ""max_hold_days"": 10}"
